time,christina,yvonne,jonathan,charles
2014-04-28 19:30:33,3,0,0,0
2014-04-28 19:30:34,1,0,0,0
2014-04-28 19:30:35,3,0,0,0
2014-04-28 19:30:36,3,0,0,0
2014-04-28 19:30:37,1,0,0,0
2014-04-28 19:30:38,1,0,0,0
2014-04-28 19:30:39,1,0,0,0
2014-04-28 19:30:40,1,0,0,0
2014-04-28 19:30:41,1,0,0,0
2014-04-28 19:30:42,4,0,0,0
2014-04-28 19:30:43,4,0,0,0
2014-04-28 19:30:44,4,0,0,0
2014-04-28 19:30:45,3,0,0,0
2014-04-28 19:30:46,3,0,0,0
2014-04-28 19:30:47,3,0,0,0
2014-04-28 19:30:48,3,0,0,0
2014-04-28 19:30:49,3,0,0,0
2014-04-28 19:30:50,2,0,0,0
2014-04-28 19:30:51,3,0,0,0
2014-04-28 19:30:52,3,0,0,0
2014-04-28 19:30:53,3,0,0,0
2014-04-28 19:30:54,2,0,0,0
2014-04-28 19:30:55,2,0,0,0
2014-04-28 19:30:56,0,0,0,0
2014-04-28 19:30:57,0,0,0,0
2014-04-28 19:30:58,0,0,0,0
2014-04-28 19:30:59,0,0,0,0
2014-04-28 19:31:00,0,0,0,0
2014-04-28 19:31:01,0,0,0,0
2014-04-28 19:31:02,0,0,0,0
2014-04-28 19:31:03,0,0,0,0
2014-04-28 19:31:04,0,0,0,0
2014-04-28 19:31:05,0,0,0,0
2014-04-28 19:31:06,0,0,0,0
2014-04-28 19:31:07,0,0,0,0
2014-04-28 19:31:08,0,0,0,0
2014-04-28 19:31:09,0,0,0,0
2014-04-28 19:31:10,0,0,0,0
2014-04-28 19:31:11,0,0,0,0
2014-04-28 19:31:12,0,0,0,0
2014-04-28 19:31:13,0,0,0,0
2014-04-28 19:31:14,0,0,0,0
2014-04-28 19:31:15,0,0,0,0
2014-04-28 19:31:16,0,0,0,0
2014-04-28 19:31:17,0,0,0,0
2014-04-28 19:31:18,0,0,0,0
2014-04-28 19:31:19,0,0,0,0
2014-04-28 19:31:20,0,0,0,0
2014-04-28 19:31:21,0,0,0,0
2014-04-28 19:31:22,0,0,0,0
2014-04-28 19:31:23,0,0,0,0
2014-04-28 19:31:24,0,0,0,0
2014-04-28 19:31:25,0,0,0,0
2014-04-28 19:31:26,0,0,0,0
2014-04-28 19:31:27,0,0,0,0
2014-04-28 19:31:28,0,0,0,0
2014-04-28 19:31:29,0,0,0,0
2014-04-28 19:31:30,0,0,0,0
2014-04-28 19:31:31,0,0,0,0
2014-04-28 19:31:32,0,0,0,0
2014-04-28 19:31:33,0,0,0,0
2014-04-28 19:31:34,0,0,0,0
2014-04-28 19:31:35,0,0,0,0
2014-04-28 19:31:36,0,0,0,0
2014-04-28 19:31:37,0,0,0,0
2014-04-28 19:31:38,0,0,0,0
2014-04-28 19:31:39,0,0,0,0
2014-04-28 19:31:40,0,0,0,0
2014-04-28 19:31:41,0,0,0,0
2014-04-28 19:31:42,0,0,0,0
2014-04-28 19:31:43,0,0,0,0
2014-04-28 19:31:44,0,0,0,0
2014-04-28 19:31:45,0,0,0,0
2014-04-28 19:31:46,0,0,0,0
2014-04-28 19:31:47,0,0,0,0
2014-04-28 19:31:48,0,0,0,0
2014-04-28 19:31:49,0,0,0,0
2014-04-28 19:31:50,0,0,0,0
2014-04-28 19:31:51,0,0,0,0
2014-04-28 19:31:52,0,0,0,0
2014-04-28 19:31:53,0,0,0,0
2014-04-28 19:31:54,0,0,0,0
2014-04-28 19:31:55,0,0,0,0
2014-04-28 19:31:56,0,0,0,0
2014-04-28 19:31:57,0,0,0,0
2014-04-28 19:31:58,2,0,0,0
2014-04-28 19:31:59,2,0,0,0
2014-04-28 19:32:00,1,0,0,0
2014-04-28 19:32:01,1,0,0,0
2014-04-28 19:32:02,1,0,0,0
2014-04-28 19:32:03,1,0,0,0
2014-04-28 19:32:04,2,0,0,0
2014-04-28 19:32:05,8,0,0,0
2014-04-28 19:32:06,3,2,0,0
2014-04-28 19:32:07,3,2,0,0
2014-04-28 19:32:08,3,2,0,0
2014-04-28 19:32:09,3,2,0,0
2014-04-28 19:32:10,1,2,0,0
2014-04-28 19:32:11,1,2,0,0
2014-04-28 19:32:12,1,2,0,0
2014-04-28 19:32:13,3,2,0,0
2014-04-28 19:32:14,3,2,0,0
2014-04-28 19:32:15,4,2,0,0
2014-04-28 19:32:16,4,2,0,0
2014-04-28 19:32:17,2,2,0,0
2014-04-28 19:32:18,2,2,0,0
2014-04-28 19:32:19,0,2,0,0
2014-04-28 19:32:20,0,2,0,0
2014-04-28 19:32:21,0,2,0,0
2014-04-28 19:32:22,0,2,0,0
2014-04-28 19:32:23,2,1,0,0
2014-04-28 19:32:24,2,8,0,0
2014-04-28 19:32:25,2,8,0,0
2014-04-28 19:32:26,3,4,0,0
2014-04-28 19:32:27,3,7,0,0
2014-04-28 19:32:28,3,7,0,0
2014-04-28 19:32:29,3,7,0,0
2014-04-28 19:32:30,3,7,0,0
